ts,Open,High,Low,Close,Volume,ma5,ma10,ma20,ma60,ma120,RSV,%K,%D,MACD,Signal,Histogram,ma5,ma10,ma20,ma60,ma120
2024-04-08,25.02,26.85,24.95,26.76,8323.0,26.76,26.76,26.76,26.76,26.76,95.26,95.26,95.26,0.0,0.0,0.0,26.76,26.76,26.76,26.76,26.76
2024-04-15,26.1,26.91,26.02,26.25,7697.0,26.51,26.51,26.51,26.51,26.51,66.33,85.62,92.05,-0.04,-0.01,-0.04,26.51,26.51,26.51,26.51,26.51
2024-04-22,26.44,26.44,24.93,25.6,6908.0,26.2,26.2,26.2,26.2,26.2,33.84,68.36,84.15,-0.13,-0.03,-0.1,26.2,26.2,26.2,26.2,26.2
2024-04-29,25.22,25.38,24.59,24.74,2703.0,25.84,25.84,25.84,25.84,25.84,6.47,47.73,72.01,-0.27,-0.07,-0.2,25.84,25.84,25.84,25.84,25.84
2024-05-06,24.74,26.35,24.73,26.32,3626.0,25.93,25.93,25.93,25.93,25.93,74.57,56.67,66.9,-0.23,-0.1,-0.13,25.93,25.93,25.93,25.93,25.93
2024-05-13,26.05,27.52,25.87,27.35,5007.0,26.05,26.17,26.17,26.17,26.17,94.2,69.18,67.66,-0.11,-0.1,-0.0,26.05,26.17,26.17,26.17,26.17
2024-05-20,29.36,30.0,27.76,28.08,10031.0,26.42,26.44,26.44,26.44,26.44,64.51,67.62,67.65,0.05,-0.08,0.12,26.42,26.44,26.44,26.44,26.44
2024-05-27,28.15,29.65,28.1,28.53,5430.0,27.0,26.7,26.7,26.7,26.7,72.83,69.36,68.22,0.2,-0.03,0.23,27.0,26.7,26.7,26.7,26.7
2024-06-03,28.12,28.99,27.12,28.88,8328.0,27.83,26.95,26.95,26.95,26.95,78.75,72.49,69.64,0.34,0.04,0.3,27.83,26.95,26.95,26.95,26.95
2024-06-11,27.03,27.21,26.5,26.61,5455.0,27.89,26.91,26.91,26.91,26.91,17.92,54.3,64.53,0.24,0.08,0.17,27.89,26.91,26.91,26.91,26.91
2024-06-17,26.97,28.21,26.78,28.09,4658.0,28.04,27.04,27.02,27.02,27.02,45.43,51.34,60.13,0.29,0.12,0.18,28.04,27.04,27.02,27.02,27.02
2024-06-24,26.96,27.17,26.37,26.67,3856.0,27.76,27.09,26.99,26.99,26.99,9.15,37.28,52.51,0.2,0.13,0.07,27.76,27.09,26.99,26.99,26.99
2024-07-01,26.67,27.98,26.57,27.96,3971.0,27.64,27.32,27.06,27.06,27.06,60.69,45.08,50.04,0.25,0.15,0.09,27.64,27.32,27.06,27.06,27.06
2024-07-08,28.5,28.69,28.17,28.45,3558.0,27.56,27.69,27.16,27.16,27.16,89.66,59.94,53.34,0.31,0.18,0.13,27.56,27.69,27.16,27.16,27.16
2024-07-15,28.1,28.69,26.89,27.02,4505.0,27.64,27.76,27.15,27.15,27.15,28.02,49.3,51.99,0.24,0.19,0.04,27.64,27.76,27.15,27.15,27.15
2024-07-22,26.82,26.82,25.28,25.38,3187.0,27.1,27.57,27.04,27.04,27.04,2.93,33.84,45.94,0.03,0.16,-0.13,27.1,27.57,27.04,27.04,27.04
2024-07-29,25.72,26.59,25.25,26.27,4327.0,27.02,27.39,27.0,27.0,27.0,29.65,32.45,41.44,-0.04,0.13,-0.17,27.02,27.39,27.0,27.0,27.0
2024-08-05,25.71,26.14,24.34,25.01,4780.0,26.43,27.03,26.89,26.89,26.89,15.4,26.76,36.55,-0.21,0.07,-0.27,26.43,27.03,26.89,26.89,26.89
2024-08-12,24.86,25.75,24.78,25.55,2782.0,25.85,26.7,26.82,26.82,26.82,27.82,27.12,33.41,-0.28,0.0,-0.28,25.85,26.7,26.82,26.82,26.82
2024-08-19,26.25,26.76,26.03,26.39,4771.0,25.72,26.68,26.8,26.8,26.8,82.66,45.63,37.48,-0.25,-0.04,-0.21,25.72,26.68,26.8,26.8,26.8
2024-08-26,26.92,27.1,26.38,26.5,2912.0,25.94,26.52,26.78,26.78,26.78,78.26,56.51,43.82,-0.22,-0.08,-0.14,25.94,26.52,26.78,26.78,26.78
2024-09-02,26.05,26.05,25.16,25.94,3158.0,25.88,26.45,26.77,26.74,26.74,57.97,57.0,48.21,-0.24,-0.11,-0.13,25.88,26.45,26.77,26.74,26.74
2024-09-09,25.15,27.01,25.14,27.01,3227.0,26.28,26.35,26.84,26.75,26.75,96.12,70.04,55.49,-0.16,-0.11,-0.04,26.28,26.35,26.84,26.75,26.75
2024-09-16,27.68,27.95,26.88,27.86,5143.0,26.74,26.29,26.99,26.8,26.8,96.8,78.96,63.31,-0.02,-0.1,0.08,26.74,26.29,26.99,26.8,26.8
2024-09-23,27.84,29.0,27.64,28.57,9132.0,27.18,26.45,27.11,26.87,26.87,88.86,82.26,69.63,0.14,-0.05,0.2,27.18,26.45,27.11,26.87,26.87
2024-09-30,28.4,28.94,28.01,28.93,4505.0,27.66,26.8,27.18,26.95,26.95,98.19,87.57,75.61,0.29,0.01,0.28,27.66,26.8,27.18,26.95,26.95
2024-10-07,29.1,29.1,27.27,28.05,6204.0,28.08,26.98,27.18,26.99,26.99,73.48,82.87,78.03,0.32,0.07,0.26,28.08,26.98,27.18,26.99,26.99
2024-10-14,27.82,28.8,27.7,28.68,3553.0,28.42,27.35,27.19,27.05,27.05,81.08,82.28,79.44,0.39,0.12,0.27,28.42,27.35,27.19,27.05,27.05
2024-10-21,30.1,31.14,29.91,29.99,13494.0,28.84,27.79,27.25,27.15,27.15,70.28,78.28,79.06,0.55,0.2,0.35,28.84,27.79,27.25,27.15,27.15
2024-10-28,29.98,30.89,29.2,29.26,7333.0,28.98,28.08,27.38,27.22,27.22,51.42,69.33,75.81,0.59,0.27,0.32,28.98,28.08,27.38,27.22,27.22
2024-11-04,29.2,29.22,27.63,28.33,7087.0,28.86,28.26,27.39,27.26,27.26,27.39,55.35,68.99,0.54,0.32,0.22,28.86,28.26,27.39,27.26,27.26
2024-11-11,28.02,28.02,26.88,27.26,5748.0,28.7,28.39,27.42,27.26,27.26,8.92,39.87,59.28,0.39,0.33,0.06,28.7,28.39,27.42,27.26,27.26
2024-11-18,27.3,28.08,27.21,27.64,3894.0,28.5,28.46,27.4,27.27,27.27,17.84,32.53,50.37,0.31,0.33,-0.02,28.5,28.46,27.4,27.27,27.27
2024-11-25,28.0,28.0,26.47,27.42,3160.0,27.98,28.41,27.35,27.28,27.28,21.49,28.85,43.19,0.23,0.31,-0.08,27.98,28.41,27.35,27.28,27.28
2024-12-02,27.07,28.04,26.85,27.99,3048.0,27.73,28.36,27.4,27.3,27.3,55.27,37.66,41.35,0.21,0.29,-0.08,27.73,28.36,27.4,27.3,27.3
2024-12-09,27.67,28.95,27.59,27.64,5893.0,27.59,28.23,27.51,27.3,27.3,47.18,40.83,41.18,0.16,0.27,-0.11,27.59,28.23,27.51,27.3,27.3
2024-12-16,27.3,27.34,25.85,25.91,5095.0,27.32,28.01,27.5,27.27,27.27,1.94,27.87,36.74,-0.02,0.22,-0.24,27.32,28.01,27.5,27.27,27.27
2024-12-23,26.49,26.8,26.44,26.75,2204.0,27.14,27.82,27.58,27.25,27.25,29.03,28.25,33.91,-0.09,0.16,-0.25,27.14,27.82,27.58,27.25,27.25
2024-12-30,26.38,26.46,25.81,26.41,2750.0,26.94,27.46,27.63,27.23,27.23,19.11,25.21,31.01,-0.16,0.1,-0.27,26.94,27.46,27.63,27.23,27.23
2025-01-06,26.47,27.4,26.4,27.38,3421.0,26.82,27.27,27.68,27.24,27.24,50.0,33.47,31.83,-0.13,0.06,-0.19,26.82,27.27,27.68,27.24,27.24
2025-01-13,27.53,27.89,26.63,27.76,5114.0,26.84,27.22,27.74,27.25,27.25,93.75,53.56,39.07,-0.08,0.03,-0.11,26.84,27.22,27.74,27.25,27.25
2025-01-20,27.28,27.82,27.21,27.81,2632.0,27.22,27.27,27.83,27.26,27.26,96.15,67.76,48.64,-0.03,0.02,-0.05,27.22,27.27,27.83,27.26,27.26
2025-02-03,28.13,28.95,27.9,28.78,6016.0,27.63,27.38,27.92,27.3,27.3,94.59,76.7,57.99,0.09,0.04,0.06,27.63,27.38,27.92,27.3,27.3
2025-02-10,28.39,29.27,28.25,29.25,5408.0,28.2,27.57,27.99,27.34,27.34,99.3,84.24,66.74,0.22,0.07,0.15,28.2,27.57,27.99,27.34,27.34
2025-02-17,28.91,29.43,28.62,29.15,4528.0,28.55,27.68,28.02,27.38,27.38,90.0,86.16,73.21,0.3,0.11,0.19,28.55,27.68,28.02,27.38,27.38
2025-02-24,28.95,29.05,28.03,28.06,3843.0,28.61,27.73,27.98,27.4,27.4,38.29,70.2,72.21,0.26,0.14,0.12,28.61,27.73,27.98,27.4,27.4
2025-03-03,27.77,28.95,27.7,28.87,5012.0,28.82,28.02,28.02,27.43,27.43,67.63,69.34,71.25,0.3,0.17,0.13,28.82,28.02,28.02,27.43,27.43
2025-03-10,28.76,30.15,28.04,30.01,6508.0,29.07,28.35,28.08,27.48,27.48,94.29,77.66,73.39,0.42,0.21,0.21,29.07,28.35,28.08,27.48,27.48
2025-03-17,29.95,30.22,29.33,29.33,6053.0,29.08,28.64,28.05,27.52,27.52,64.68,73.33,73.37,0.45,0.26,0.19,29.08,28.64,28.05,27.52,27.52
2025-03-24,29.24,30.87,29.14,30.75,5843.0,29.4,28.98,28.12,27.58,27.58,96.21,80.96,75.9,0.58,0.31,0.26,29.4,28.98,28.12,27.58,27.58
2025-03-31,30.52,31.12,29.94,30.12,7566.0,29.82,29.21,28.21,27.63,27.63,70.76,77.56,76.45,0.61,0.37,0.24,29.82,29.21,28.21,27.63,27.63
2025-04-07,25.07,27.26,25.07,27.26,22693.0,29.49,29.16,28.21,27.63,27.63,36.2,63.77,72.23,0.38,0.37,0.01,29.49,29.16,28.21,27.63,27.63
2025-04-14,27.55,28.82,27.53,28.4,16886.0,29.17,29.12,28.25,27.64,27.64,55.04,60.86,68.44,0.3,0.36,-0.06,29.17,29.12,28.25,27.64,27.64
2025-04-21,28.39,29.2,28.22,28.96,23034.0,29.1,29.09,28.33,27.67,27.67,64.3,62.01,66.29,0.28,0.34,-0.06,29.1,29.09,28.33,27.67,27.67
2025-04-28,28.6,28.73,27.97,28.04,10300.0,28.56,28.98,28.33,27.67,27.67,49.09,57.7,63.43,0.18,0.31,-0.13,28.56,28.98,28.33,27.67,27.67
2025-05-05,27.6,28.3,27.14,27.69,8588.0,28.07,28.94,28.33,27.67,27.67,63.44,59.61,62.16,0.08,0.27,-0.19,28.07,28.94,28.33,27.67,27.67
2025-05-12,27.83,28.25,27.05,27.61,6365.0,28.14,28.82,28.42,27.67,27.67,26.05,48.42,57.58,-0.01,0.22,-0.23,28.14,28.82,28.42,27.67,27.67
2025-05-19,27.76,28.72,27.39,28.27,5338.0,28.11,28.64,28.5,27.68,27.68,56.74,51.2,55.45,-0.01,0.18,-0.19,28.11,28.64,28.5,27.68,27.68
2025-05-26,28.44,28.56,27.92,28.23,3490.0,27.97,28.53,28.59,27.69,27.69,70.24,57.54,56.15,-0.02,0.14,-0.16,27.97,28.53,28.59,27.69,27.69
2025-06-02,28.09,30.81,28.04,30.71,13305.0,28.5,28.53,28.75,27.74,27.74,97.34,70.81,61.04,0.19,0.15,0.04,28.5,28.53,28.75,27.74,27.74
2025-06-09,30.6,31.16,30.59,30.69,15946.0,29.1,28.59,28.9,27.81,27.79,88.56,76.73,66.27,0.34,0.18,0.15,29.1,28.59,28.9,27.81,27.79
2025-06-16,30.69,31.56,30.05,30.05,12170.0,29.59,28.86,29.01,27.87,27.83,63.79,72.42,68.32,0.39,0.22,0.17,29.59,28.86,29.01,27.87,27.83
2025-06-23,30.43,30.83,30.25,30.63,6403.0,30.06,29.09,29.1,27.95,27.87,74.45,73.09,69.91,0.47,0.27,0.2,30.06,29.09,29.1,27.95,27.87
2025-06-30,30.18,30.87,30.08,30.87,8095.0,30.59,29.28,29.18,28.06,27.92,80.4,75.53,71.78,0.54,0.32,0.22,30.59,29.28,29.18,28.06,27.92
2025-07-07,30.87,31.81,30.5,31.81,13497.0,30.81,29.66,29.32,28.15,27.98,100.0,83.69,75.75,0.67,0.38,0.29,30.81,29.66,29.32,28.15,27.98
2025-07-14,32.74,33.05,31.78,32.18,22132.0,31.11,30.1,29.52,28.23,28.04,71.0,79.46,76.99,0.78,0.45,0.33,31.11,30.1,29.52,28.23,28.04
2025-07-21,32.23,33.26,32.19,32.84,20029.0,31.67,30.63,29.72,28.31,28.11,86.79,81.9,78.62,0.91,0.53,0.37,31.67,30.63,29.72,28.31,28.11
2025-07-28,32.16,32.21,30.65,30.75,11075.0,31.69,30.88,29.76,28.34,28.15,21.07,61.62,72.96,0.8,0.58,0.22,31.69,30.88,29.76,28.34,28.15
2025-08-04,30.98,32.33,30.83,32.24,8861.0,31.96,31.28,29.9,28.4,28.21,63.04,62.1,69.34,0.84,0.63,0.21,31.96,31.28,29.9,28.4,28.21
2025-08-11,32.07,32.46,31.63,31.89,7118.0,31.98,31.4,29.96,28.49,28.26,47.51,57.23,65.3,0.83,0.67,0.16,31.98,31.4,29.96,28.49,28.26
2025-08-18,31.9,32.07,31.12,31.94,8102.0,31.93,31.52,30.05,28.55,28.32,49.43,54.63,61.75,0.81,0.69,0.11,31.93,31.52,30.05,28.55,28.32
2025-08-25,32.65,32.92,32.35,32.73,6517.0,31.91,31.79,30.33,28.65,28.38,91.63,66.96,63.49,0.84,0.72,0.12,31.91,31.79,30.33,28.65,28.38
2025-09-01,33.77,34.85,33.7,34.48,19339.0,32.66,32.17,30.63,28.76,28.46,90.8,74.91,67.29,1.01,0.77,0.24,32.66,32.17,30.63,28.76,28.46
2025-09-08,34.44,35.45,34.14,35.4,11698.0,33.29,32.63,30.95,28.88,28.55,98.85,82.89,72.49,1.19,0.85,0.35,33.29,32.63,30.95,28.88,28.55
2025-09-15,35.41,35.83,34.54,35.27,12331.0,33.96,32.97,31.31,29.02,28.64,88.11,84.63,76.54,1.3,0.93,0.37,33.96,32.97,31.31,29.02,28.64
2025-09-22,36.1,37.58,36.07,37.36,15190.0,35.05,33.49,31.8,29.22,28.76,95.79,88.35,80.47,1.53,1.04,0.49,35.05,33.49,31.8,29.22,28.76
2025-09-30,38.82,39.37,38.82,39.32,8177.0,36.37,34.14,32.38,29.43,28.9,99.12,91.94,84.3,1.85,1.19,0.66,36.37,34.14,32.38,29.43,28.9
